id_map;start;target;path_cost;bench_time;run_time;expanded;generated;heapops
London_0_512;(451, 489);(330, 121);553.910721864681;2523910;2523910.7;1478;1658;3050
London_0_512;(153, 411);(99, 238);214.69999187258261;164779;164779.9;63;80;142
London_0_512;(402, 165);(469, 83);105.98799553813302;67398;67398.7;49;62;110
London_0_512;(282, 127);(86, 384);387.89274679680386;300252;300252.7;132;157;288
London_0_512;(70, 226);(267, 195);348.36939020297257;619380;619380.4;480;522;993
London_0_512;(265, 178);(274, 2);400.9131797327929;2576794;2576794.3;1987;2155;4069
London_0_512;(289, 506);(278, 409);97.62171889492625;55798;55798.9;25;29;53
London_0_512;(489, 168);(477, 323);158.07962155426256;136497;136497.4;50;63;112
London_0_512;(212, 476);(107, 132);445.4612416991585;1098060;1098060.3;623;702;1311
London_0_512;(371, 58);(264, 478);453.8153095456032;324206;324206.8;137;156;292
London_0_512;(171, 406);(322, 220);239.57671005337727;75776;75776.7;34;46;79
London_0_512;(313, 46);(42, 313);612.5974288866283;851190;851190.5;712;758;1460
London_0_512;(192, 450);(366, 165);335.17368916790775;137121;137121.7;40;54;93
London_0_512;(474, 330);(493, 97);235.80818462045994;147652;147652.0;43;62;104
London_0_512;(261, 56);(502, 407);594.1019546927026;870810;870810.9;724;790;1505
London_0_512;(275, 257);(472, 83);264.9516319086301;142535;142535.2;78;103;180
London_0_512;(380, 403);(378, 352);51.03920062069938;45889;45889.5;8;15;22
London_0_512;(280, 293);(417, 465);219.89315587348324;77568;77568.0;30;38;67
London_0_512;(154, 6);(324, 473);515.9490143804494;379352;379352.3;211;241;451
London_0_512;(109, 351);(317, 231);240.4207878730885;88021;88021.8;43;60;102
London_0_512;(68, 132);(387, 385);426.6072597898574;223730;223730.3;147;167;313
London_0_512;(162, 351);(476, 372);317.4521873718075;56671;56671.7;16;27;42
London_0_512;(101, 430);(193, 372);108.75660899458019;32361;32361.2;4;9;12
London_0_512;(321, 289);(439, 481);232.2822443629805;135906;135906.7;75;89;163
London_0_512;(160, 360);(464, 315);334.7881453217425;164399;164399.0;69;99;167
London_0_512;(132, 240);(249, 99);212.31406251996555;408006;408006.3;282;323;599
London_0_512;(496, 467);(420, 374);231.35952054092473;332409;332409.5;173;186;358
London_0_512;(281, 496);(427, 38);487.0493014817822;222599;222599.2;112;143;254
London_0_512;(135, 352);(117, 129);303.5381386987576;496179;496179.3;299;338;633
London_0_512;(477, 406);(51, 86);561.2304209473517;1031318;1031318.5;589;689;1256
London_0_512;(498, 362);(49, 337);452.5687078027284;56871;56871.3;14;24;37
London_0_512;(434, 268);(349, 91);295.0752181551188;808829;808829.3;626;720;1328
London_0_512;(322, 42);(307, 208);321.58759421802563;519172;519172.3;475;507;972
London_0_512;(418, 382);(339, 372);96.1236819110665;106829;106829.7;19;30;48
London_0_512;(368, 298);(140, 365);237.6404847663798;63946;63946.8;27;32;58
London_0_512;(268, 420);(90, 170);346.925670659507;211862;211862.9;71;96;166
London_0_512;(294, 208);(267, 178);40.36087214122113;16555;16555.6;10;19;28
London_0_512;(414, 73);(369, 355);307.6831159744604;617484;617484.9;169;188;355
London_0_512;(128, 242);(401, 507);406.7832471555975;207145;207145.4;83;102;184
London_0_512;(209, 506);(348, 386);183.6327857437228;61848;61848.9;30;36;65
London_0_512;(332, 489);(20, 312);358.71018942873644;71714;71714.5;31;41;71
London_0_512;(87, 162);(370, 50);445.7296339445413;1726250;1726250.8;1334;1470;2750
London_0_512;(352, 502);(413, 480);64.8459713474939;35050;35050.7;21;24;44
London_0_512;(507, 115);(163, 154);378.43652904123513;676370;676370.4;579;658;1221
London_0_512;(505, 142);(154, 179);384.11208480754357;660853;660853.4;448;535;960
London_0_512;(281, 296);(506, 401);248.8180231377687;69368;69368.0;14;28;41
