exp;path_found;alg;wallt_micro;runt_micro;expanded;generated;heapops;start;target;gridcost;realcost;map
1039;True;AnyaSearch;3596561;3596561.1;5867;13883;15834;(456,40);(487,424);415.22539673;387.70126921830763;random512-20-8.map
1040;True;AnyaSearch;4767982;4767982.5;8971;21481;20853;(380,369);(30,237);414.04877319;377.48903759052;random512-20-8.map
1041;True;AnyaSearch;6916259;6916259.0;13100;30718;29327;(479,477);(99,405);417.96551208;391.5582696785304;random512-20-8.map
1042;True;AnyaSearch;5045730;5045730.7;9368;22104;21328;(2,401);(381,336);418.89444427;388.5608203557654;random512-20-8.map
1043;True;AnyaSearch;5339957;5339957.8;9830;22930;22850;(40,172);(385,312);416.70562744;376.30702883771335;random512-20-8.map
1044;True;AnyaSearch;7728923;7728923.2;13379;31433;32455;(369,20);(105,282);418.21529541;377.30916808217523;random512-20-8.map
1045;True;AnyaSearch;6276130;6276130.2;11086;25503;27487;(432,149);(207,440);416.41630554;372.46454107009913;random512-20-8.map
1046;True;AnyaSearch;3650699;3650699.4;6918;16065;15988;(414,107);(23,103);419.46803741;393.89822952538134;random512-20-8.map
1047;True;AnyaSearch;6222850;6222850.2;11924;27898;27306;(51,159);(410,46);417.90663757;381.5577793906536;random512-20-8.map
1048;True;AnyaSearch;5383686;5383686.7;9752;22194;23292;(500,279);(203,57);419.31580047;378.76048658499377;random512-20-8.map
1049;True;AnyaSearch;11044805;11044805.7;19125;45221;46735;(196,82);(209,467);417.78174591;389.86636890943475;random512-20-8.map
1050;True;AnyaSearch;8108914;8108914.0;14177;32650;35128;(130,32);(32,398);419.17871551;383.5761481654306;random512-20-8.map
1051;True;AnyaSearch;8460443;8460443.0;15005;35071;35221;(165,493);(459,263);420.90158691;379.4133344318564;random512-20-8.map
1052;True;AnyaSearch;6074992;6074992.8;10019;22688;25275;(161,17);(365,331);421.34523773;378.29042205073296;random512-20-8.map
1053;True;AnyaSearch;6119941;6119941.2;11013;25823;26997;(223,507);(494,248);423.97265472;378.9100405923755;random512-20-8.map
1054;True;AnyaSearch;7948370;7948370.1;14089;32702;33790;(5,76);(260,346);423.90158691;376.83544763715895;random512-20-8.map
1055;True;AnyaSearch;6943370;6943370.8;11792;27609;29265;(283,152);(80,473);422.07315979;383.9528180839027;random512-20-8.map
1056;True;AnyaSearch;8192320;8192320.3;14687;33873;34308;(78,479);(342,219);420.31580047;376.5843031494284;random512-20-8.map
1057;True;AnyaSearch;5286242;5286242.8;9599;22319;22582;(21,314);(370,164);423.67619018;384.09599818735023;random512-20-8.map
1058;True;AnyaSearch;7161845;7161845.8;11551;26986;28500;(433,89);(458,476);420.50966797;391.1133536705039;random512-20-8.map
1059;True;AnyaSearch;6360693;6360693.7;10697;24761;26606;(78,321);(315,30);423.1442276;379.4982804674463;random512-20-8.map
1060;True;AnyaSearch;6640133;6640133.0;10979;25180;27412;(205,424);(402,106);423.03152923;380.91612494854303;random512-20-8.map
1061;True;AnyaSearch;14151242;14151242.5;24044;56171;54531;(303,433);(5,207);426.41630554;381.5598592996716;random512-20-8.map
1062;True;AnyaSearch;12985466;12985466.7;21380;50372;51212;(71,135);(205,494);427.39191894;388.5145106717842;random512-20-8.map
1063;True;AnyaSearch;6106942;6106942.4;10965;25569;24767;(436,78);(42,110);424.50966797;398.990026862818;random512-20-8.map
1064;True;AnyaSearch;6946117;6946117.8;12057;28260;28156;(398,140);(64,326);427.4457428;386.8361518960384;random512-20-8.map
1065;True;AnyaSearch;8758457;8758457.3;15402;35556;34511;(129,79);(475,238);425.57568512;386.3314543068123;random512-20-8.map
